item,itemLabel,birthplaceLabel,coordsBirth,birthDate,deathplaceLabel,coordsDeath,deathDate
http://www.wikidata.org/entity/Q434748,Isabella Leonarda,Novara,Point(8.62 45.45),1620-09-06T00:00:00Z,Novara,Point(8.62 45.45),1704-02-25T00:00:00Z
http://www.wikidata.org/entity/Q436512,Nicola Fiorenza,Naples,Point(14.248611111 40.835833333),1700-01-01T00:00:00Z,Naples,Point(14.248611111 40.835833333),1764-04-13T00:00:00Z
http://www.wikidata.org/entity/Q372428,Daniel Purcell,London,Point(-0.1275 51.507222222),1664-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1717-11-26T00:00:00Z
http://www.wikidata.org/entity/Q337573,Jean-Pierre Guignon,Turin,Point(7.676111111 45.079166666),1702-02-10T00:00:00Z,Versailles,Point(2.135 48.805),1774-01-30T00:00:00Z
http://www.wikidata.org/entity/Q330712,Nicolaus a Kempis,,,1600-01-01T00:00:00Z,City of Brussels,Point(4.351666666 50.846666666),1676-08-11T00:00:00Z
http://www.wikidata.org/entity/Q330712,Nicolaus a Kempis,,,1600-01-01T00:00:00Z,City of Brussels,Point(4.351666666 50.846666666),1676-08-01T00:00:00Z
http://www.wikidata.org/entity/Q354266,Thomas Ford,,,1580-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1648-11-01T00:00:00Z
http://www.wikidata.org/entity/Q387409,Gaspar de Verlit,Brussels metropolitan area,Point(4.3525 50.846666666),1622-05-22T00:00:00Z,Brussels metropolitan area,Point(4.3525 50.846666666),1682-12-19T00:00:00Z
http://www.wikidata.org/entity/Q428547,Nicolas Bernier,Mantes-la-Jolie,Point(1.716666666 48.990555555),1664-06-28T00:00:00Z,Paris,Point(2.352222222 48.856666666),1734-09-05T00:00:00Z
http://www.wikidata.org/entity/Q381943,Stefano Landi,Rome,Point(12.482777777 41.893055555),1587-02-26T00:00:00Z,Rome,Point(12.482777777 41.893055555),1639-10-28T00:00:00Z
http://www.wikidata.org/entity/Q328722,Sebastián Durón,Spain,Point(-3.5 40.2),1660-01-01T00:00:00Z,Cambo-les-Bains,Point(-1.401666666 43.357777777),1716-08-03T00:00:00Z
http://www.wikidata.org/entity/Q355191,Bernardo Pasquini,Massa e Cozzile,Point(10.75 43.916666666),1637-12-07T00:00:00Z,Rome,Point(12.482777777 41.893055555),1710-11-22T00:00:00Z
http://www.wikidata.org/entity/Q371862,Jean-Joseph de Mondonville,Narbonne,Point(3.003611111 43.184722222),1711-01-01T00:00:00Z,Belleville,Point(2.385 48.871),1772-10-08T00:00:00Z
http://www.wikidata.org/entity/Q381617,Giuseppe Zamponi,Rome,Point(12.482777777 41.893055555),1600-01-01T00:00:00Z,Brussels metropolitan area,Point(4.3525 50.846666666),1662-02-01T00:00:00Z
http://www.wikidata.org/entity/Q330488,Vincenzo Ugolini,Perugia,Point(12.3888 43.1121),1578-11-11T00:00:00Z,Rome,Point(12.482777777 41.893055555),1638-05-06T00:00:00Z
http://www.wikidata.org/entity/Q359289,Francesco Antonio Pistocchi,Palermo,Point(13.361261944 38.115658055),1659-01-01T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1726-05-13T00:00:00Z
http://www.wikidata.org/entity/Q360436,Emilio de' Cavalieri,Rome,Point(12.482777777 41.893055555),1550-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1602-03-11T00:00:00Z
http://www.wikidata.org/entity/Q350695,Antonio Cesti,Arezzo,Point(11.878055555 43.463055555),1624-08-05T00:00:00Z,Florence,Point(11.254166666 43.771388888),1669-10-14T00:00:00Z
http://www.wikidata.org/entity/Q382425,Johan Henrik Freithoff,Kristiansand Municipality,Point(7.99561111 58.14672222),1713-01-01T00:00:00Z,Copenhagen,Point(12.568888888 55.676111111),1767-06-24T00:00:00Z
http://www.wikidata.org/entity/Q353855,Thomas Lupo,London,Point(-0.1275 51.507222222),1571-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1627-12-01T00:00:00Z
http://www.wikidata.org/entity/Q357575,Jacques-Christophe Naudot,France,Point(2.0 47.0),1690-01-01T00:00:00Z,Paris,Point(2.352222222 48.856666666),1762-11-16T00:00:00Z
http://www.wikidata.org/entity/Q329552,Ignazio Albertini,Milan,Point(9.19 45.466944444),1644-01-01T00:00:00Z,Vienna,Point(16.3725 48.208333333),1685-09-22T00:00:00Z
http://www.wikidata.org/entity/Q359148,Joachim Burmeister,Lüneburg,Point(10.414444444 53.2525),1564-01-01T00:00:00Z,Rostock,Point(12.133333333 54.083333333),1629-05-05T00:00:00Z
http://www.wikidata.org/entity/Q328112,Carlo Mannelli,Rome,Point(12.482777777 41.893055555),1640-11-04T00:00:00Z,Rome,Point(12.482777777 41.893055555),1697-01-06T00:00:00Z
http://www.wikidata.org/entity/Q354947,Giovanni Legrenzi,Clusone,Point(9.95 45.883333333),1626-08-12T00:00:00Z,Venice,Point(12.331944444 45.439722222),1690-05-27T00:00:00Z
http://www.wikidata.org/entity/Q445589,Domenico Gabrielli,Bologna,Point(11.342777777 44.493888888),1659-10-19T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1690-07-10T00:00:00Z
http://www.wikidata.org/entity/Q349352,Johan Helmich Roman,The Royal Court Parish,Point(18.072725 59.326538888),1694-10-26T00:00:00Z,Ryssby,Point(16.351666666 56.801944444),1758-11-20T00:00:00Z
http://www.wikidata.org/entity/Q375676,Giovanni Buonaventura Viviani,Florence,Point(11.254166666 43.771388888),1638-07-15T00:00:00Z,Pistoia,Point(10.916666666 43.933333333),1693-01-01T00:00:00Z
http://www.wikidata.org/entity/Q375676,Giovanni Buonaventura Viviani,Florence,Point(11.254166666 43.771388888),1638-07-15T00:00:00Z,Pistoia,Point(10.916666666 43.933333333),1692-12-01T00:00:00Z
http://www.wikidata.org/entity/Q445967,Joachim Neander,Bremen,Point(8.807222222 53.075833333),1650-01-01T00:00:00Z,Bremen,Point(8.807222222 53.075833333),1680-05-31T00:00:00Z
http://www.wikidata.org/entity/Q441763,Andrea Bernasconi,Marseille,Point(5.376388888 43.296666666),1706-01-01T00:00:00Z,Munich,Point(11.575 48.1375),1784-01-27T00:00:00Z
http://www.wikidata.org/entity/Q347804,Adriano Banchieri,Bologna,Point(11.342777777 44.493888888),1568-09-13T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1634-01-01T00:00:00Z
http://www.wikidata.org/entity/Q326934,Francesco Manelli,Tivoli,Point(12.8 41.966666666),1594-09-13T00:00:00Z,Parma,Point(10.328 44.801472222),1667-01-01T00:00:00Z
http://www.wikidata.org/entity/Q362915,Pierre Danican Philidor,Paris,Point(2.352222222 48.856666666),1681-08-22T00:00:00Z,Versailles,Point(2.135 48.805),1731-09-01T00:00:00Z
http://www.wikidata.org/entity/Q350426,Adam Michna z Otradovic,Jindřichův Hradec,Point(15.003024549 49.144110393),1600-01-01T00:00:00Z,Jindřichův Hradec,Point(15.003024549 49.144110393),1676-11-02T00:00:00Z
http://www.wikidata.org/entity/Q354461,Nicolas Hotman,City of Brussels,Point(4.351666666 50.846666666),1614-01-01T00:00:00Z,Paris,Point(2.352222222 48.856666666),1663-04-01T00:00:00Z
http://www.wikidata.org/entity/Q327875,Charles-Hubert Gervais,Paris,Point(2.352222222 48.856666666),1671-02-19T00:00:00Z,Paris,Point(2.352222222 48.856666666),1744-01-15T00:00:00Z
http://www.wikidata.org/entity/Q432299,Johann Adam Hiller,Osiek Łużycki,Point(14.996666666 51.083888888),1728-12-25T00:00:00Z,Leipzig,Point(12.375 51.34),1804-06-16T00:00:00Z
http://www.wikidata.org/entity/Q326934,Francesco Manelli,Tivoli,Point(12.8 41.966666666),1595-01-01T00:00:00Z,Parma,Point(10.328 44.801472222),1667-01-01T00:00:00Z
http://www.wikidata.org/entity/Q395563,Agostino Agazzari,Siena,Point(11.331388888 43.318333333),1578-12-12T00:00:00Z,Siena,Point(11.331388888 43.318333333),1640-04-10T00:00:00Z
http://www.wikidata.org/entity/Q373349,Adrian Le Roy,Montreuil-sur-Mer,Point(1.763333333 50.463611111),1520-01-01T00:00:00Z,Paris,Point(2.352222222 48.856666666),1598-01-01T00:00:00Z
http://www.wikidata.org/entity/Q438790,Janez Krstnik Dolar,Kamnik,Point(14.609661395 46.224979812),1620-01-01T00:00:00Z,Vienna,Point(16.3725 48.208333333),1673-02-13T00:00:00Z
http://www.wikidata.org/entity/Q329470,Johann Fischer,Augsburg,Point(10.897777777 48.368888888),1646-09-25T00:00:00Z,Schwedt/Oder,Point(14.283055555 53.063055555),1716-01-01T00:00:00Z
http://www.wikidata.org/entity/Q369787,Biagio Marini,Brescia,Point(10.220280555 45.538888888),1594-02-03T00:00:00Z,Venice,Point(12.331944444 45.439722222),1663-11-17T00:00:00Z
http://www.wikidata.org/entity/Q350221,Adam Krieger,Drezdenko,Point(15.833333333 52.833333333),1634-01-07T00:00:00Z,Dresden,Point(13.74 51.05),1666-06-30T00:00:00Z
http://www.wikidata.org/entity/Q326971,Charles Racquet,Paris,Point(2.352222222 48.856666666),1597-01-01T00:00:00Z,Paris,Point(2.352222222 48.856666666),1664-01-01T00:00:00Z
http://www.wikidata.org/entity/Q336137,Alessandro Marcello,Venice,Point(12.331944444 45.439722222),1673-08-24T00:00:00Z,Venice,Point(12.331944444 45.439722222),1747-06-19T00:00:00Z
http://www.wikidata.org/entity/Q327086,Alberich Mazak,Racibórz,Point(18.21928 50.09195),1609-01-01T00:00:00Z,Vienna,Point(16.3725 48.208333333),1661-05-09T00:00:00Z
http://www.wikidata.org/entity/Q372593,Johann Rosenmüller,Oelsnitz,Point(12.166666666 50.416666666),1619-08-24T00:00:00Z,Wolfenbüttel,Point(10.536944444 52.162222222),1684-09-12T00:00:00Z
http://www.wikidata.org/entity/Q383163,Annibal Gantez,Marseille,Point(5.376388888 43.296666666),1607-12-24T00:00:00Z,Auxerre,Point(3.566944444 47.7975),1700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q440048,Gaspar Sanz Celma,Calanda,Point(-0.2315612 40.9394642),1640-01-01T00:00:00Z,Madrid,Point(-3.703333333 40.416944444),1710-01-01T00:00:00Z
http://www.wikidata.org/entity/Q326788,Giovanni Battista Draghi,Rimini,Point(12.568333333 44.059444444),1640-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1708-01-01T00:00:00Z
http://www.wikidata.org/entity/Q350695,Antonio Cesti,Arezzo,Point(11.878055555 43.463055555),1623-08-05T00:00:00Z,Florence,Point(11.254166666 43.771388888),1669-10-14T00:00:00Z
http://www.wikidata.org/entity/Q355191,Bernardo Pasquini,Massa e Cozzile,Point(10.75 43.916666666),1637-12-08T00:00:00Z,Rome,Point(12.482777777 41.893055555),1710-11-22T00:00:00Z
http://www.wikidata.org/entity/Q375733,Virgilio Mazzocchi,Civita Castellana,Point(12.41 42.296111111),1597-07-22T00:00:00Z,Civita Castellana,Point(12.41 42.296111111),1646-10-03T00:00:00Z
http://www.wikidata.org/entity/Q395649,Agostino Diruta,Perugia,Point(12.3888 43.1121),1590-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1647-01-01T00:00:00Z
http://www.wikidata.org/entity/Q335838,Turlough O'Carolan,Meath,Point(-6.666666666 53.666666666),1670-01-01T00:00:00Z,Ballyfarnon,Point(-8.1994 54.0681),1738-03-25T00:00:00Z
http://www.wikidata.org/entity/Q386718,Jean-Baptiste Lully fils,Paris,Point(2.352222222 48.856666666),1665-08-06T00:00:00Z,Paris,Point(2.352222222 48.856666666),1743-03-09T00:00:00Z
http://www.wikidata.org/entity/Q348875,Jean-Marie Leclair,Lyon,Point(4.841388888 45.758888888),1697-05-10T00:00:00Z,Paris,Point(2.352222222 48.856666666),1764-10-22T00:00:00Z
http://www.wikidata.org/entity/Q434891,Carlo Grua,Milan,Point(9.19 45.466944444),1700-01-01T00:00:00Z,Mannheim,Point(8.466111111 49.487777777),1775-01-01T00:00:00Z
http://www.wikidata.org/entity/Q379571,Sylvius Leopold Weiss,Wrocław,Point(17.0325 51.11),1686-01-01T00:00:00Z,Dresden,Point(13.74 51.05),1750-10-18T00:00:00Z
http://www.wikidata.org/entity/Q379571,Sylvius Leopold Weiss,Wrocław,Point(17.0325 51.11),1686-01-01T00:00:00Z,Dresden,Point(13.74 51.05),1750-10-16T00:00:00Z
http://www.wikidata.org/entity/Q349680,Daniel Bacheler,Buckinghamshire,Point(-0.8 51.766666666),1572-03-01T00:00:00Z,Kent,Point(0.73 51.19),1619-01-01T00:00:00Z
http://www.wikidata.org/entity/Q434891,Carlo Grua,Milan,Point(9.19 45.466944444),1700-01-01T00:00:00Z,Mannheim,Point(8.466111111 49.487777777),1773-01-01T00:00:00Z
http://www.wikidata.org/entity/Q344626,Jean-Nicolas Geoffroy,Vitry-le-François,Point(4.584444444 48.724722222),1633-01-01T00:00:00Z,Perpignan,Point(2.894722222 42.6975),1694-03-11T00:00:00Z
http://www.wikidata.org/entity/Q326817,Gustaf Düben,Stockholm,Point(18.068611111 59.329444444),1624-01-01T00:00:00Z,Jakob and Johannes parish,Point(18.070555555 59.330416666),1690-12-19T00:00:00Z
http://www.wikidata.org/entity/Q446955,Francesco Gasparini,Camaiore,Point(10.3 43.933333333),1661-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1737-04-01T00:00:00Z
http://www.wikidata.org/entity/Q379571,Sylvius Leopold Weiss,Wrocław,Point(17.0325 51.11),1687-10-12T00:00:00Z,Dresden,Point(13.74 51.05),1750-10-18T00:00:00Z
http://www.wikidata.org/entity/Q379571,Sylvius Leopold Weiss,Wrocław,Point(17.0325 51.11),1687-10-12T00:00:00Z,Dresden,Point(13.74 51.05),1750-10-16T00:00:00Z
http://www.wikidata.org/entity/Q440020,Jeremiah Clarke,London,Point(-0.1275 51.507222222),1674-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1707-12-01T00:00:00Z
http://www.wikidata.org/entity/Q445441,Johann Ulrich Steigleder,Schwäbisch Hall,Point(9.7375 49.112222222),1593-03-22T00:00:00Z,Stuttgart,Point(9.18 48.7775),1635-10-10T00:00:00Z
http://www.wikidata.org/entity/Q337172,Nathaniel Giles,Worcester,Point(-2.220555555 52.191111111),1558-01-01T00:00:00Z,Windsor,Point(-0.6 51.483333333),1634-01-24T00:00:00Z
http://www.wikidata.org/entity/Q428075,Johannes Jeep,Dransfeld,Point(9.766666666 51.5),1582-01-01T00:00:00Z,Hanau,Point(8.916944444 50.132777777),1644-11-19T00:00:00Z
http://www.wikidata.org/entity/Q337172,Nathaniel Giles,Worcester,Point(-2.220555555 52.191111111),1558-01-01T00:00:00Z,Windsor,Point(-0.6 51.483333333),1633-01-01T00:00:00Z
http://www.wikidata.org/entity/Q349847,Adam Jarzębski,Warka,Point(21.1833835 51.7850969),1590-01-01T00:00:00Z,Warsaw,Point(21.011111111 52.23),1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q349847,Adam Jarzębski,Warka,Point(21.1833835 51.7850969),1590-01-01T00:00:00Z,Warsaw,Point(21.011111111 52.23),1648-01-01T00:00:00Z
http://www.wikidata.org/entity/Q446955,Francesco Gasparini,Camaiore,Point(10.3 43.933333333),1661-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1727-03-22T00:00:00Z
http://www.wikidata.org/entity/Q446955,Francesco Gasparini,Camaiore,Point(10.3 43.933333333),1661-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1727-02-22T00:00:00Z
http://www.wikidata.org/entity/Q330869,Abraham van den Kerckhoven,Mechelen,Point(4.480277777 51.028055555),1618-01-01T00:00:00Z,City of Brussels,Point(4.351666666 50.846666666),1702-01-09T00:00:00Z
http://www.wikidata.org/entity/Q372066,Carlo Rainaldi,Rome,Point(12.482777777 41.893055555),1611-05-04T00:00:00Z,Rome,Point(12.482777777 41.893055555),1691-02-08T00:00:00Z
http://www.wikidata.org/entity/Q326946,Peeter Cornet,City of Brussels,Point(4.351666666 50.846666666),1570-01-01T00:00:00Z,City of Brussels,Point(4.351666666 50.846666666),1633-03-27T00:00:00Z
http://www.wikidata.org/entity/Q386106,Claude Balbastre,Dijon,Point(5.041944444 47.323055555),1724-12-08T00:00:00Z,Paris,Point(2.352222222 48.856666666),1799-05-09T00:00:00Z
http://www.wikidata.org/entity/Q395725,Agostino Steffani,Castelfranco Veneto,Point(11.933333333 45.666666666),1654-07-25T00:00:00Z,Frankfurt,Point(8.682222222 50.110555555),1728-02-12T00:00:00Z
http://www.wikidata.org/entity/Q433474,Jean-Joseph Fiocco,Brussels metropolitan area,Point(4.3525 50.846666666),1686-12-15T00:00:00Z,Brussels metropolitan area,Point(4.3525 50.846666666),1746-03-30T00:00:00Z
http://www.wikidata.org/entity/Q353297,Henri-Jacques de Croes,Antwerp,Point(4.399722222 51.221111111),1705-09-19T00:00:00Z,City of Brussels,Point(4.351666666 50.846666666),1786-08-16T00:00:00Z
http://www.wikidata.org/entity/Q349170,Adam Drese,Thuringia,Point(11.0 51.0),1620-12-01T00:00:00Z,Arnstadt,Point(10.946388888 50.834166666),1701-02-15T00:00:00Z
http://www.wikidata.org/entity/Q445696,Johann Christian Kittel,Erfurt,Point(11.028888888 50.978055555),1732-02-18T00:00:00Z,Erfurt,Point(11.028888888 50.978055555),1809-04-17T00:00:00Z
http://www.wikidata.org/entity/Q383163,Annibal Gantez,Marseille,Point(5.376388888 43.296666666),1600-01-01T00:00:00Z,Auxerre,Point(3.566944444 47.7975),1700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q348403,Adam-Nicolas Gascon,Liège,Point(5.570555555 50.639722222),1623-03-14T00:00:00Z,Liège,Point(5.570555555 50.639722222),1668-07-10T00:00:00Z
http://www.wikidata.org/entity/Q433489,Gregor Werner,Ybbs an der Donau,Point(15.066666666 48.166666666),1693-01-28T00:00:00Z,Eisenstadt,Point(16.52327 47.845649),1766-03-03T00:00:00Z
http://www.wikidata.org/entity/Q364597,Louis de Caix d'Hervelois,Amiens,Point(2.297777777 49.891944444),1680-01-01T00:00:00Z,Paris,Point(2.352222222 48.856666666),1759-10-18T00:00:00Z
http://www.wikidata.org/entity/Q427701,Robert Cambert,Paris,Point(2.352222222 48.856666666),1628-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1677-01-01T00:00:00Z
http://www.wikidata.org/entity/Q327607,Louis-Gabriel Guillemain,Paris,Point(2.352222222 48.856666666),1705-11-15T00:00:00Z,Paris,Point(2.352222222 48.856666666),1770-10-01T00:00:00Z
http://www.wikidata.org/entity/Q371825,Johann Christoph Pepusch,Berlin,Point(13.383333333 52.516666666),1667-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1752-07-31T00:00:00Z
http://www.wikidata.org/entity/Q331337,Robert Valentine,Leicester,Point(-1.133055555 52.636111111),1671-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1747-05-26T00:00:00Z
http://www.wikidata.org/entity/Q330721,Robert Dowland,England,Point(-1.0 53.0),1591-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1641-12-08T00:00:00Z
http://www.wikidata.org/entity/Q330721,Robert Dowland,England,Point(10.77439 44.75606),1591-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1641-12-08T00:00:00Z
http://www.wikidata.org/entity/Q362339,André Danican Philidor,Versailles,Point(2.135 48.805),1652-01-01T00:00:00Z,Dreux,Point(1.365555555 48.736388888),1730-08-11T00:00:00Z
http://www.wikidata.org/entity/Q350695,Antonio Cesti,Arezzo,Point(11.878055555 43.463055555),1623-01-01T00:00:00Z,Florence,Point(11.254166666 43.771388888),1669-10-14T00:00:00Z
http://www.wikidata.org/entity/Q378139,Jean-Noël Hamal,Liège,Point(5.570555555 50.639722222),1709-12-23T00:00:00Z,Liège,Point(5.570555555 50.639722222),1778-11-26T00:00:00Z
http://www.wikidata.org/entity/Q175202,Antonio Maria Mazzoni,Bologna,Point(11.342777777 44.493888888),1717-01-04T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1785-12-08T00:00:00Z
http://www.wikidata.org/entity/Q241200,František Antonín Míča,Třebíč,Point(15.881675935 49.2149674),1694-09-05T00:00:00Z,Jaroměřice nad Rokytnou,Point(15.893317828 49.094127133),1744-02-15T00:00:00Z
http://www.wikidata.org/entity/Q170401,Georg Muffat,Megève,Point(6.6175 45.856944444),1653-06-01T00:00:00Z,Passau,Point(13.4609744 48.5748229),1704-02-23T00:00:00Z
http://www.wikidata.org/entity/Q302270,Marc'Antonio Ziani,Venice,Point(12.331944444 45.439722222),1653-01-01T00:00:00Z,Vienna,Point(16.3725 48.208333333),1715-01-22T00:00:00Z
http://www.wikidata.org/entity/Q287421,Pascal Collasse,Reims,Point(4.028611111 49.265277777),1649-01-22T00:00:00Z,Versailles,Point(2.135 48.805),1709-07-17T00:00:00Z
http://www.wikidata.org/entity/Q320376,Gaspard Le Roux,Paris,Point(2.352222222 48.856666666),1660-01-01T00:00:00Z,Paris,Point(2.352222222 48.856666666),1707-06-17T00:00:00Z
http://www.wikidata.org/entity/Q283651,Giovanni Battista Martini,Bologna,Point(11.342777777 44.493888888),1706-04-25T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1784-08-03T00:00:00Z
http://www.wikidata.org/entity/Q323731,Johann Andreas Herbst,Nuremberg,Point(11.0775 49.453888888),1588-06-09T00:00:00Z,Frankfurt,Point(8.682222222 50.110555555),1666-01-24T00:00:00Z
http://www.wikidata.org/entity/Q320534,Carlo Pallavicino,Salò,Point(10.533333333 45.6),1630-01-01T00:00:00Z,Dresden,Point(13.74 51.05),1688-01-29T00:00:00Z
http://www.wikidata.org/entity/Q232235,Barbara Strozzi,Venice,Point(12.331944444 45.439722222),1619-08-06T00:00:00Z,Padua,Point(11.877777777 45.406388888),1677-11-11T00:00:00Z
http://www.wikidata.org/entity/Q168539,Carl Friedrich Abel,Köthen,Point(11.973611111 51.751111111),1723-12-22T00:00:00Z,London,Point(-0.1275 51.507222222),1787-06-20T00:00:00Z
http://www.wikidata.org/entity/Q186258,Michael Altenburg,Alach,Point(10.9317 50.9867),1584-05-25T00:00:00Z,Erfurt,Point(11.028888888 50.978055555),1640-02-12T00:00:00Z
http://www.wikidata.org/entity/Q317821,Georg Caspar Schürmann,Neustadt am Rübenberge,Point(9.46358 52.5055),1672-01-01T00:00:00Z,Wolfenbüttel,Point(10.536944444 52.162222222),1751-02-25T00:00:00Z
http://www.wikidata.org/entity/Q279121,Antoine Boësset,Blois,Point(1.327222222 47.593055555),1587-02-24T00:00:00Z,Paris,Point(2.352222222 48.856666666),1643-12-08T00:00:00Z
http://www.wikidata.org/entity/Q232035,Francesca Caccini,Florence,Point(11.254166666 43.771388888),1587-09-18T00:00:00Z,Florence,Point(11.254166666 43.771388888),1640-01-01T00:00:00Z
http://www.wikidata.org/entity/Q322547,Felix Benda,Skalsko,Point(14.759119163 50.42718899),1708-02-25T00:00:00Z,Prague,Point(14.421388888 50.0875),1768-01-12T00:00:00Z
http://www.wikidata.org/entity/Q311625,Francesco Geminiani,Lucca,Point(10.516666666 43.85),1687-01-01T00:00:00Z,Dublin,Point(-6.260277777 53.349722222),1762-09-17T00:00:00Z
http://www.wikidata.org/entity/Q209212,Girolamo Frescobaldi,Ferrara,Point(11.619865 44.835297),1583-09-13T00:00:00Z,Rome,Point(12.482777777 41.893055555),1643-03-01T00:00:00Z
http://www.wikidata.org/entity/Q322254,Daniel Friderici,Querfurt,Point(11.6 51.383333333),1584-01-01T00:00:00Z,Rostock,Point(12.133333333 54.083333333),1638-09-23T00:00:00Z
http://www.wikidata.org/entity/Q174355,Giovanni Battista Ferrandini,Venice,Point(12.331944444 45.439722222),1709-10-12T00:00:00Z,Munich,Point(11.575 48.1375),1791-11-25T00:00:00Z
http://www.wikidata.org/entity/Q311571,Antonio Caldara,Venice,Point(12.331944444 45.439722222),1671-01-01T00:00:00Z,Vienna,Point(16.3725 48.208333333),1736-12-28T00:00:00Z
http://www.wikidata.org/entity/Q319766,Domenico Alberti,Venice,Point(12.331944444 45.439722222),1710-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1746-10-14T00:00:00Z
http://www.wikidata.org/entity/Q183087,Alessandro Scarlatti,Palermo,Point(13.361261944 38.115658055),1660-05-02T00:00:00Z,Naples,Point(14.248611111 40.835833333),1725-10-22T00:00:00Z
http://www.wikidata.org/entity/Q174633,Giovanni Alberto Ristori,Bologna,Point(11.342777777 44.493888888),1692-01-01T00:00:00Z,Dresden,Point(13.74 51.05),1753-02-07T00:00:00Z
http://www.wikidata.org/entity/Q312784,Benedetto Marcello,Venice,Point(12.331944444 45.439722222),1686-07-24T00:00:00Z,Brescia,Point(10.220280555 45.538888888),1739-07-24T00:00:00Z
http://www.wikidata.org/entity/Q169291,Samuel Scheidt,Halle (Saale),Point(11.969722222 51.482777777),1587-11-04T00:00:00Z,Halle (Saale),Point(11.969722222 51.482777777),1654-03-24T00:00:00Z
http://www.wikidata.org/entity/Q311913,Orlando Gibbons,Oxford,Point(-1.257777777 51.751944444),1583-12-25T00:00:00Z,Canterbury,Point(1.0775 51.278333333),1625-06-05T00:00:00Z
http://www.wikidata.org/entity/Q316352,Johann Christoph Pez,Munich,Point(11.575 48.1375),1664-09-09T00:00:00Z,Stuttgart,Point(9.18 48.7775),1716-09-25T00:00:00Z
http://www.wikidata.org/entity/Q208338,Baldassare Galuppi,Burano,Point(12.4175 45.485555555),1706-10-18T00:00:00Z,Venice,Point(12.331944444 45.439722222),1785-01-03T00:00:00Z
http://www.wikidata.org/entity/Q289660,Johann Gottfried Schicht,Bogatynia,Point(14.953888888 50.9075),1753-09-29T00:00:00Z,Leipzig,Point(12.375 51.34),1823-02-16T00:00:00Z
http://www.wikidata.org/entity/Q175137,François Duval,Paris,Point(2.352222222 48.856666666),1672-01-01T00:00:00Z,Versailles,Point(2.135 48.805),1728-01-27T00:00:00Z
http://www.wikidata.org/entity/Q216604,Johann Pfeiffer,Nuremberg,Point(11.0775 49.453888888),1697-01-01T00:00:00Z,Bayreuth,Point(11.578333333 49.948055555),1761-10-17T00:00:00Z
http://www.wikidata.org/entity/Q215308,Giulio Caccini,Rome,Point(12.482777777 41.893055555),1551-10-18T00:00:00Z,Florence,Point(11.254166666 43.771388888),1618-12-10T00:00:00Z
http://www.wikidata.org/entity/Q323786,Daniel Eberlin,Nuremberg,Point(11.0775 49.453888888),1630-12-04T00:00:00Z,Kassel,Point(9.497916666 51.315777777),1685-06-05T00:00:00Z
http://www.wikidata.org/entity/Q168832,Johann Adam Reincken,Deventer,Point(6.2 52.25),1643-12-10T00:00:00Z,Hamburg,Point(10.0 53.55),1722-11-24T00:00:00Z
http://www.wikidata.org/entity/Q175090,Andreas Kneller,Lübeck,Point(10.686388888 53.869722222),1649-04-23T00:00:00Z,Hamburg,Point(10.0 53.55),1724-08-24T00:00:00Z
http://www.wikidata.org/entity/Q309709,Thomas Arne,London,Point(-0.1275 51.507222222),1710-03-12T00:00:00Z,London,Point(-0.1275 51.507222222),1778-03-05T00:00:00Z
http://www.wikidata.org/entity/Q301304,Carlo Zuccari,Casalmaggiore,Point(10.414722222 44.985833333),1704-11-10T00:00:00Z,Casalmaggiore,Point(10.414722222 44.985833333),1792-05-03T00:00:00Z
